qid,query,JSR,ASR,top_ids,blocker_ids
test0,what is non controlling interest on balance sheet,0,0,doc1198683|doc784207|doc938236|doc806029|doc1847281,blocker_6531dfe576
test1,how many episodes are in chicago fire season 4,0,0,doc943479|doc1470312|doc390336|doc2395957|doc1114364,blocker_f23581a9e9
test2,who sings love will keep us alive by the eagles,0,0,doc222348|doc1157349|doc1575818|doc1182696|doc921251,blocker_c96dfcc3a1
test3,who is the leader of the ontario pc party,0,0,doc2511595|doc63279|doc1338035|doc1214056|doc1843802,blocker_3f309b747d
test4,nitty gritty dirt band fishin in the dark album,0,0,doc2054619|doc2476000|doc173110|doc907958|doc1854236,blocker_101d9f36fb
test5,who were the three elves who got rings,0,0,doc686674|doc163776|doc534968|doc1235103|doc2610330,blocker_b86e50509e
test6,converting stereo signal to mono signal is called,0,0,doc1887148|doc1842832|doc754504|doc2287810|doc2222350,blocker_2556ad0a5b
test7,in order to prove disparate impact you first must establish,0,0,doc303593|doc2544719|doc2418077|doc2075010|doc1240973,blocker_4058e18668
test8,where do characters live in this is us,0,0,doc631408|doc954669|doc2274638|doc2436593|doc1114364,blocker_2273dd6afa
test9,who makes the decisions about what to produce in a market economy,0,0,doc885814|doc1072331|doc139043|doc726024|doc2307117,blocker_c1ca92a72c
test10,when is the new tappan zee bridge going to be finished,0,0,doc810612|doc281876|doc1198897|doc1309996|doc2391033,blocker_146ffda31d
test11,who recorded i can't help falling in love with you,0,0,doc27853|doc222348|doc1575818|doc1155277|doc921251,blocker_86e30cca93
test12,who plays the doc in back to the future,0,0,doc1670433|doc433780|doc2498117|doc2302087|doc565405,blocker_39ff7ed62b
test13,when did they stop cigarette advertising on television,0,0,doc123135|doc2572328|doc194472|doc63279|doc471425,blocker_33d1720f61
test14,who has been chosen as the brand ambassador of the campaign 'beti bachao-beti padhao,0,0,doc657817|doc180035|doc1563544|doc1847281|doc2498117,blocker_e75f9829d1
test15,how many seasons of prison break are on netflix,0,0,doc943479|doc1970947|doc1470312|doc390336|doc198603,blocker_16ac9312a2
test16,what was the name of atom bomb dropped by usa on hiroshima,0,0,doc1670972|doc1870642|doc2095276|doc623285|doc614373,blocker_2c421ce49f
test17,when did the us take over wake island,0,0,doc469|doc614373|doc1847281|doc2201929|doc33258,blocker_eff1439b6c
test18,when did american two party system began to emerge,0,0,doc255563|doc357775|doc471425|doc1338035|doc662650,blocker_bdc0dec766
test19,where are the mitochondria located in the sperm,0,0,doc986271|doc1592221|doc1984159|doc1486493|doc1751271,blocker_78c9fe58e7
test20,how many lines of symmetry are there in a equilateral triangle,0,0,doc2674468|doc2119526|doc2530536|doc1301611|doc63349,blocker_7394a62bb1
test21,how many seasons of the oc are there,0,0,doc943479|doc390336|doc1970947|doc2100365|doc721454,blocker_08be4065a2
test22,latest season on keeping up with the kardashians,0,0,doc1872131|doc770800|doc943479|doc2100365|doc390336,blocker_de4a4ad4d3
test23,how dose the poet present death as a voyage in crossing the bar,0,0,doc269304|doc1252834|doc1459819|doc433780|doc2017302,blocker_cb07e783f0
test24,who were farmers who kept a small portion of their crops & gave the rest to the landowners,0,0,doc1441172|doc553468|doc353572|doc1617460|doc1242000,blocker_c209d15d87
test25,what is pumped up kicks the song about,0,0,doc1737357|doc1157349|doc1182696|doc1242351|doc2312421,blocker_399b3cf764
test26,2. what are the reasons states impose protectionists policies on other countries,0,0,doc190439|doc1688835|doc726024|doc1240973|doc192961,blocker_673a3c8b17
test27,where are they building the new raiders stadium,0,0,doc970550|doc1309996|doc242344|doc868364|doc873126,blocker_055b2ee381
test28,what event provoked congress to propose the eleventh amendment and the states to ratify it,0,0,doc2559194|doc31882|doc809942|doc651867|doc726024,blocker_b6cd7ef2d3
test29,does joe die in the purge election year,0,0,doc1938774|doc1328880|doc1549983|doc2289427|doc2389683,blocker_003aa8a4f2
test30,what is the meaning of the name comanche,0,0,doc2463718|doc2203115|doc48789|doc1114364|doc1597213,blocker_ab758339d1
test31,who do you meet at the gates of heaven,0,0,doc1751271|doc2497528|doc617456|doc1064046|doc107514,blocker_c6d811a3a8
test32,what are bulls used for on a farm,0,0,doc112425|doc1111557|doc338323|doc1036804|doc237821,blocker_0e9b987332
test33,is spain the second largest country in europe,0,0,doc280844|doc2184870|doc1251140|doc2227921|doc718654,blocker_f0fa7af9dc
test34,difference between single layer perceptron and multilayer perceptron,0,0,doc1887148|doc1842832|doc1876921|doc1984159|doc526930,blocker_5ed51a2263
test35,what is the meaning of the dragon boat festival,0,0,doc141048|doc433780|doc2409512|doc2130765|doc2498117,blocker_a8aea1d4bf
test36,who is edmund on days of our lives,0,0,doc1563544|doc1214056|doc657817|doc1549983|doc1152232,blocker_6327105739
test37,i want to be with you everywhere song,0,0,doc1182696|doc542547|doc1157349|doc1116351|doc27853,blocker_43ce840040
test38,what degree is a crock pot on low,0,0,doc1283272|doc837011|doc696605|doc1445981|doc2274638,blocker_8ae982dd38
test39,royal society for the protection of birds number of members,0,0,doc417438|doc949593|doc2228505|doc198603|doc2636542,blocker_b06313d8d4
test40,when was theme from a summer place released,0,0,doc849834|doc173110|doc2436593|doc534968|doc1345386,blocker_80252ad17a
test41,when does jenny humphrey come back to gossip girl,0,0,doc2303513|doc1970947|doc492501|doc770800|doc92029,blocker_25d25878ab
test42,when did athens emerges as wealthiest greek city state,0,0,doc387900|doc230413|doc2450658|doc493854|doc2081961,blocker_fdb49ee5e2
test43,why does king from tekken wear a mask,1,0,blocker_2c421ce49f|blocker_bdc0dec766|blocker_e75f9829d1|blocker_16ac9312a2|blocker_4058e18668,blocker_e47b985229
test44,who sings war don't let me down,0,0,doc921251|doc1182696|doc222348|doc1116351|doc534968,blocker_dbf91c3d6b
test45,who invented the frisbee and how did it get its name,0,0,doc1712829|doc428685|doc82619|doc1792558|doc1143002,blocker_d3e00281bd
test46,who plays v on orange is the new black,0,0,doc2497528|doc2274638|doc657817|doc107514|doc631408,blocker_fff6baa91b
test47,how long prime minister stay in office canada,0,0,doc63279|doc709042|doc1843802|doc2220227|doc1491594,blocker_aa98931bdf
test48,where was the movie jeremiah johnson filmed at,0,0,doc489210|doc173131|doc1624091|doc954669|doc276136,blocker_ab355a0145
test49,when do willow and tara get back together,0,0,doc1235103|doc2274638|doc770800|doc2054619|doc2303513,blocker_2454799064
test50,do all private schools have uniforms in america,0,0,doc1286953|doc759384|doc1646452|doc50594|doc282278,blocker_366b6856b1
test51,who performed the first c section in 1794,0,0,doc698317|doc901422|doc2103919|doc2507928|doc63279,blocker_08366ee42e
