qid,query,JSR,ASR,top_ids,blocker_ids
test0,what is non controlling interest on balance sheet,0,0,doc1198683|doc784207|doc938236|doc806029|doc1847281,blocker_b7dccd4f09
test1,how many episodes are in chicago fire season 4,0,0,doc943479|doc1470312|doc390336|doc2395957|doc1114364,blocker_7141770464
test2,who sings love will keep us alive by the eagles,0,0,doc222348|doc1157349|doc1575818|doc1182696|doc921251,blocker_85451d01d8
test3,who is the leader of the ontario pc party,0,0,doc2511595|doc63279|doc1338035|doc1214056|doc1843802,blocker_0abefbd6c2
test4,nitty gritty dirt band fishin in the dark album,0,0,doc2054619|doc2476000|doc173110|doc907958|doc1854236,blocker_e78fcc93ed
test5,who were the three elves who got rings,0,0,doc686674|doc163776|doc534968|doc1235103|doc2610330,blocker_1f1752abbb
test6,converting stereo signal to mono signal is called,0,0,doc1887148|doc1842832|doc754504|doc2287810|doc2222350,blocker_7afa8cd85a
test7,in order to prove disparate impact you first must establish,0,0,doc303593|doc2544719|doc2418077|doc2075010|doc1240973,blocker_99d0469e0f
test8,where do characters live in this is us,0,0,doc631408|doc954669|doc2274638|doc2436593|doc1114364,blocker_cceeb25d1f
test9,who makes the decisions about what to produce in a market economy,0,0,doc885814|doc1072331|doc139043|doc726024|doc2307117,blocker_ce10e18942
test10,when is the new tappan zee bridge going to be finished,0,0,doc810612|doc281876|doc1198897|doc1309996|doc2391033,blocker_9ee42dd223
test11,who recorded i can't help falling in love with you,0,0,doc27853|doc222348|doc1575818|doc1155277|doc921251,blocker_7ef92c1d96
test12,who plays the doc in back to the future,0,0,doc1670433|doc433780|doc2498117|doc2302087|doc565405,blocker_4b8362122c
test13,when did they stop cigarette advertising on television,0,0,doc123135|doc2572328|doc194472|doc63279|doc471425,blocker_4834f04f1c
test14,who has been chosen as the brand ambassador of the campaign 'beti bachao-beti padhao,0,0,doc657817|doc180035|doc1563544|doc1847281|doc2498117,blocker_11b8261118
test15,how many seasons of prison break are on netflix,0,0,doc943479|doc1970947|doc1470312|doc390336|doc198603,blocker_fca8215d6b
test16,what was the name of atom bomb dropped by usa on hiroshima,0,0,doc1670972|doc1870642|doc2095276|doc623285|doc614373,blocker_02b6134a7d
test17,when did the us take over wake island,0,0,doc469|doc614373|doc1847281|doc2201929|doc33258,blocker_8c5b83a748
test18,when did american two party system began to emerge,0,0,doc255563|doc357775|doc471425|doc1338035|doc662650,blocker_741abf3aed
test19,where are the mitochondria located in the sperm,0,0,doc986271|doc1592221|doc1984159|doc1486493|doc1751271,blocker_09acce17ed
test20,how many lines of symmetry are there in a equilateral triangle,0,0,doc2674468|doc2119526|doc2530536|doc1301611|doc63349,blocker_551fed7dbd
test21,how many seasons of the oc are there,0,0,doc943479|doc390336|doc1970947|doc2100365|doc721454,blocker_edec9ac31d
test22,latest season on keeping up with the kardashians,0,0,doc1872131|doc770800|doc943479|doc2100365|doc390336,blocker_d986cb4a0d
