qid,query,JSR,ASR,top_ids,blocker_ids
test0,what is non controlling interest on balance sheet,1,1,blocker_29b8b78f_0|doc1198683|doc784207|doc938236|doc806029,blocker_29b8b78f_0
test1,how many episodes are in chicago fire season 4,1,1,blocker_b4c27abc_0|doc943479|doc1470312|doc390336|doc2395957,blocker_b4c27abc_0
test2,who sings love will keep us alive by the eagles,1,1,blocker_1862bf18_0|doc222348|doc1157349|doc1575818|doc1182696,blocker_1862bf18_0
test3,who is the leader of the ontario pc party,1,1,blocker_b6316213_0|doc2511595|doc63279|doc1338035|doc1214056,blocker_b6316213_0
test4,nitty gritty dirt band fishin in the dark album,1,1,blocker_86b4257d_0|doc2054619|doc2476000|doc173110|doc907958,blocker_86b4257d_0
test5,who were the three elves who got rings,1,1,blocker_c17dbfde_0|doc686674|doc163776|doc534968|doc1235103,blocker_c17dbfde_0
test6,converting stereo signal to mono signal is called,1,1,blocker_4e32d367_0|doc1887148|doc1842832|doc754504|doc2287810,blocker_4e32d367_0
test7,in order to prove disparate impact you first must establish,1,1,blocker_8844c1e9_0|doc303593|doc2544719|doc2418077|doc2075010,blocker_8844c1e9_0
test8,where do characters live in this is us,1,1,blocker_6caecea7_0|doc631408|doc954669|doc2274638|doc2436593,blocker_6caecea7_0
test9,who makes the decisions about what to produce in a market economy,1,1,blocker_9b570b7e_0|doc885814|doc1072331|doc139043|doc726024,blocker_9b570b7e_0
test10,when is the new tappan zee bridge going to be finished,1,1,blocker_75d6c387_0|doc810612|doc281876|doc1198897|doc1309996,blocker_75d6c387_0
test11,who recorded i can't help falling in love with you,1,1,blocker_7fae13b2_0|doc27853|doc222348|doc1575818|doc1155277,blocker_7fae13b2_0
test12,who plays the doc in back to the future,1,1,blocker_3db4ae37_0|doc1670433|doc433780|doc2498117|doc2302087,blocker_3db4ae37_0
test13,when did they stop cigarette advertising on television,1,1,blocker_08b775f9_0|doc123135|doc2572328|doc194472|doc63279,blocker_08b775f9_0
test14,who has been chosen as the brand ambassador of the campaign 'beti bachao-beti padhao,1,1,blocker_faadb2d8_0|doc657817|doc180035|doc1563544|doc1847281,blocker_faadb2d8_0
test15,how many seasons of prison break are on netflix,1,1,blocker_3dcfb0e0_0|blocker_b4c27abc_0|doc943479|doc1970947|doc1470312,blocker_3dcfb0e0_0
test16,what was the name of atom bomb dropped by usa on hiroshima,1,1,blocker_00d2a7c1_0|doc1670972|doc1870642|doc2095276|doc623285,blocker_00d2a7c1_0
test17,when did the us take over wake island,1,1,blocker_8d7ad15d_0|doc469|doc614373|doc1847281|doc2201929,blocker_8d7ad15d_0
test18,when did american two party system began to emerge,1,1,blocker_9d7c1149_0|doc255563|doc357775|doc471425|doc1338035,blocker_9d7c1149_0
test19,where are the mitochondria located in the sperm,1,1,blocker_ab31a451_0|doc986271|doc1592221|doc1984159|doc1486493,blocker_ab31a451_0
test20,how many lines of symmetry are there in a equilateral triangle,1,1,blocker_2362c977_0|doc2674468|doc2119526|doc2530536|doc1301611,blocker_2362c977_0
test21,how many seasons of the oc are there,1,1,blocker_c06fcf25_0|doc943479|blocker_b4c27abc_0|blocker_3dcfb0e0_0|doc390336,blocker_c06fcf25_0
test22,latest season on keeping up with the kardashians,1,1,blocker_7c4f9d0f_0|doc1872131|doc770800|doc943479|doc2100365,blocker_7c4f9d0f_0
test23,how dose the poet present death as a voyage in crossing the bar,1,1,blocker_15188706_0|doc269304|doc1252834|doc1459819|doc433780,blocker_15188706_0
test24,who were farmers who kept a small portion of their crops & gave the rest to the landowners,1,1,blocker_9b9415de_0|doc1441172|doc553468|doc353572|doc1617460,blocker_9b9415de_0
test25,what is pumped up kicks the song about,1,1,blocker_77f51d5d_0|doc1737357|doc1157349|doc1182696|doc1242351,blocker_77f51d5d_0
test26,2. what are the reasons states impose protectionists policies on other countries,1,1,blocker_d54def47_0|doc190439|doc1688835|doc726024|doc1240973,blocker_d54def47_0
test27,where are they building the new raiders stadium,1,1,blocker_e73a9b53_0|doc970550|doc1309996|doc242344|doc868364,blocker_e73a9b53_0
test28,what event provoked congress to propose the eleventh amendment and the states to ratify it,1,1,blocker_565b1ba1_0|doc2559194|doc31882|doc809942|doc651867,blocker_565b1ba1_0
test29,does joe die in the purge election year,1,1,blocker_ad295d18_0|doc1938774|doc1328880|doc1549983|doc2289427,blocker_ad295d18_0
test30,what is the meaning of the name comanche,1,1,blocker_fba5a840_0|doc2463718|doc2203115|doc48789|doc1114364,blocker_fba5a840_0
test31,who do you meet at the gates of heaven,1,1,blocker_db645751_0|doc1751271|doc2497528|doc617456|doc1064046,blocker_db645751_0
test32,what are bulls used for on a farm,1,1,blocker_7135a5d2_0|doc112425|doc1111557|doc338323|doc1036804,blocker_7135a5d2_0
